Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
35,"Occipitotemporal sulcus posterior, RH",VisCent,DorsAttnA,0.6745168065878213,0.2882965820879813,0.037039212458069064
36,Cerebellum VIIb,No network found,No network found,0.6793181359740423,0.26595704873871634,0.05472901484395673
37,Caudate nucleus,No network found,No network found,0.7668144682023678,0.1789158152141502,0.0542668906094072
38,"Supramarginal gyrus, RH",SalVentAttnA,SalVentAttnB,0.6590730358575239,0.1604413662889755,0.09888191672773648
39,"Paracingulate gyrus, anterior",DefaultB,DefaultA,0.6402751404025813,0.20322276936953723,0.15567193672919943
40,"Paracingulate gyrus, posterior",SalVentAttnA,SalVentAttnA,0.6918799689227274,0.17406664294335847,0.13346038797679297
41,Thalamus,No network found,No network found,0.4357404555709275,0.5627977140501579,0.0014687873096287422
42,"Postcentral sulcus, inferior",DorsAttnB,DorsAttnB,0.5312375865892551,0.40859073562401205,0.0597024183670532
43,Ventromedial frontal cortex,LimbicA,LimbicB,0.658586839848114,0.23937278476620588,0.1019175895340905
44,"Precentral sulcus, medial",SomMotA,SomMotA,0.5267120768116977,0.3986719751280822,0.07129602145865105
45,"Superior frontal sulcus, LH",DefaultB,DefaultA,0.6222273366486664,0.29921724609355105,0.0778779260306855
46,"Postcentral sulcus superior, RH",DorsAttnB,DorsAttnB,0.5277347599069825,0.30318462363749155,0.15340585567766937
47,"Supramarginal gyrus anterior, RH",DorsAttnB,DorsAttnB,0.6123109685056558,0.2758791088902001,0.09632839491457387
48,Frontal opercula RH,SomMotA,SomMotB,0.7149462767682156,0.09296649796192391,0.14341438473124066
49,"Lingual gyrus, anterior",VisCent,VisPeri,0.7411038942379338,0.17549434120128324,0.08341813331378327
50,Cerebellum VIIIb posterior,No network found,No network found,0.6478188013725834,0.2954138526145048,0.05609523872185227
51,"Central sulcus superior, RH",SomMotA,SomMotA,0.5234579239375503,0.34551304935574273,0.12819434624028808
52,Cerebrospinal fluid (between parietal lobe and skull),DorsAttnB,DorsAttnB,0.4831847999046165,0.03619922874655589,0.2811929122116446
53,Caudate,No network found,No network found,0.5269323150503902,0.47158231429077596,0.0014899082321067287
54,"Superior frontal sulcus anterior, RH",SalVentAttnA,SalVentAttnB,0.6052202247673445,0.3422232899259501,0.049548848626651355
55,Anterior corona radiata,No network found,No network found,0.01169717963698283,0.9882535777009975,4.10435086401427e-05
56,Suborbital cortex,LimbicA,LimbicB,0.7902154675585084,0.1430546681944698,0.06027346519748861
57,Inferior frontal gyrus LH,ContA,ContA,0.5682178395557851,0.08479641827764864,0.15150696321796497
58,Caudate superior,No network found,No network found,0.6663134227217331,0.21677854960242204,0.11690406536218637
59,Fusiform gyrus LH,VisCent,VisCent,0.7558794816878263,0.13825293554138957,0.10407745446236132
60,Genu of callosal body,No network found,No network found,0.19700586038298673,0.5267202163677962,0.2762687078516766
61,Frontal pole,DefaultB,DefaultA,0.4930991951499806,0.049969360117181116,0.1292759896049312
62,"Lingual gyrus, middle",VisCent,VisPeri,0.5955894299419592,0.37604206516699906,0.02836570280937569
63,"Intraparietal sulcus dorsal, RH",DorsAttnB,DorsAttnA,0.5334655461265403,0.34306240942062444,0.12099015704622615
64,"Angular gyrus inferior, LH",SalVentAttnA,TempPar,0.7082741325665499,0.19854570386037076,0.08038876346706002
65,Precuneus anterior,SalVentAttnA,ContC,0.6396852693458646,0.07902640185673426,0.2812477433537186
66,Caudate inferior,LimbicA,LimbicB,0.6486665229463713,0.2966676866592671,0.05444811370445944
67,Middle frontal gyrus posterior RH,ContA,ContB,0.4878209054170427,0.47127873614133103,0.03767178444497052
68,"Superior frontal gyrus posterior, LH",DorsAttnB,ContA,0.6308441238680834,0.20896297889404655,0.13942375933053078
69,Cerebellum VIIIb anterior,No network found,No network found,0.7907555410656766,0.16790920660661499,0.040040073871070773
70,Parietal operculum,SalVentAttnA,SalVentAttnA,0.7430658572970501,0.07576689959203492,0.17085008777571734
71,Isthmus of corpus callosum,No network found,No network found,0.19515248097221277,0.4240661552256828,0.3807749673256938
72,Putamen,No network found,No network found,0.6694765488918262,0.3230783506328792,0.007451394520473001
73,Supramarginal gyrus,SalVentAttnA,SalVentAttnA,0.5842938346718476,0.34133499201301476,0.0644750636217789
